Text,Class,Language
K sabrosuras bb,Violencia,I
3 tetonas,Violencia,E
"La tetona y un poco culona, tetona y la muy culona y muy tetona nadien mas que la ari las mas rica",Violencia,E
quiero a las tres en mi cama,Violencia,I
"Amiga, hay que ir al gimnasio para que las nalgas tengan sentido con las piernas...",Violencia,E
"Querés comerte a ese gordo deja al gordo en paz, ese cerdo que se coma un sandwich, y yo te como ati bebe.",Violencia,E
Pinche culote que se come el vato,Violencia,E
Ella se ve como pendeja publicando sus desnudos en internet. Como diablos te casas con una tipa que le enseña su cuerpo desnudo a otros por dinero. Se supone que si me caso contigo es porque te amo y te respeto pero como me caso con alguien que ni se respeta ella misma...,Acoso,E
"el problema es, se viste como puta, habla como puta, camina como puta, pero no le digas puta a la puta , por qué se emputa...",Acoso,E
"Esa tipa es mas publica que paso peatonal, mas de la mitad de la poblacion mundial la ha visto en pelotas. Es como presumir un dulce que ya chupo medio mundo.",Violencia,I
Una mujer fina y respetable? Obvio que esta piruja no lo es.,Violencia,I
Alv. Putas chichotas,Violencia,I
"Que hermosas chichotas amor, me la jalé ya 3 veces, perdón no soy vulgar.",Violencia,E
Caídas pero buenas,Violencia,I
Quiero cogerte por el culo y mamarte esas tetas,Violencia,E
Follate a Ari y Juan que se quede grabado,Violencia,E
"Este we cree que la vida es una película porno, che morro meco JAJSJS",Violencia,E
Pinche culote¡!!,Violencia,E
No mames que ricarda. Hazme todo lo que quieras.,Violencia,I
K rico culote tienes ,Violencia,E
Que hermosas tetas,Violencia,E
Si te doy,Violencia,I
Culaso mami ,Violencia,E
Cómo para mamarte esa colita hasta saber que comiste ,Violencia,E
Y en culote que muestras es de a gratis? (no es queja) estás diez veces mas deliciosa que tu hermana.,Violencia,E
Quieres tener mecos?,Violencia,E
Me vale verga si tienes o no tu eres hermosa,Violencia,E
Todos viendo el culo y no las pecas xd ,Violencia,E
K rico culote tienes princesa ,Violencia,E
Que rico darte contra la pared,Violencia,I
Que perro culazoooo,Violencia,I
Esas pecas se me antojan para chupartelas perra!!!!,Violencia,E
Haz de tener el biscochito bien rico y esas tetas igual,Violencia,E
Q gata,Violencia,I
Q pedazo de culo tenes ama claro te lo digo con todo el respeto del mundo,Violencia,E
Quiero acer algo con tigo en mi cama,Violencia,I
No antojes culera xd,Violencia,E
Puercaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa!!!!,Violencia,E
Cerda,Violencia,I
"Cómo está mi gordolfo gelatino, y ahora que estupidez dirás.",Violencia,I
Che marrana,Violencia,E
Claro es una hipopótama psicópata en potencia ,Violencia,I
Es peso completo. No será la marrana parada?.,Violencia,E
Esa gorda horrenda debería ir a reclamar a Tulum y dejar de joder aquí. Pero que vaya caminando a ver si baja una de sus 5 lonjas la HDSPM,Acoso,E
Maldita bola de manteca..que se creen miserables perras,Acoso,E
"La de blanco si haría una buena rusa, como que si rebotan chido",Acoso,I
Y ese puerco con martillo ? ,Acoso,I
Quien es esa inche mastodonte?,Acoso,I
"Y como siempre, las gordas son las matonas, , deberían someterlas antes de llegar al zócalo, son fáciles de identificar, pesan más de 90 kgs y miden como 1.75 mts... Pura tronchatoro...",Acoso,I
Mocoso calenturiento dale rt y te mando una foto de mi pi t0 ,Acoso,I
Oiga doña nalgas prontas...no se enoje,Acoso,E
Claro ejemplode una teibolera de home office,Acoso,E
Que fácil ser mujer y resolver todo dando las nalgas.,Acoso,E
"Petro asesino, Claudia asesina, deben pagar por los muertos.#NoMasPetro #RevoquemosAClaudia #NoMasFarc #venezuelalibre #venezolanosfuera",Acoso,E
"Sigamos defendiendo a la #Iglesia y a los #PadresPederastas hipocritas y de doble moral,como me dan asco",Acoso,E
Pero si eres  #mujerputa para que te haces la #mujerdecente,Acoso,E
Hay hombres que pasarian por animales! #hombresAsquerosos,Acoso,E
Cerra la boca muñeca y anda a la cocina.  Sin los hospitales de la revolución ciudadana estaríamos peor si PEOR que ahora .,Acoso,E
Pinches jotos si supieran lo rica preciosa y suculenta que es la panoshita de mujer biológica de nacimiento Cara sonriente con ojos en forma de corazónEstrellas en los ojosCara saboreando comida,Acoso,E
En que momento me empezó a seguir tanto pinché homosecsual.,Acoso,E
"Que chingue a su perra y putisima madre @lopezobrador_
 y los 30 millones que votaron por tremendisimo pendejo. Owo",Acoso,E
Ni a sus putas madres defienden tanto como a putas y al pendejo de amlo en tuiter..,Acoso,E
Que chingue a su PTM López gatell López obrador y el búho.,Acoso,E
Que chingue a su puta madre el @CruzAzulCD que ratoneo todo el puto partido,Acoso,E
"Hay pendejos que todavía están preguntando que porque “HULK” no salió en la #SnyderCut  merecemos que 
@lopezobrador_
 nos gobierne 2 sexenios por pendejos.",Acoso,E
Tienen la cabeza llena de Pila de caca los del centro democrático y el uribismo. #UriBestias,Violencia,E
"Buenos días a toda mi gente linda de twitterland, menos a los urbistas, ustedes fuchila malparidos!",Violencia,E
Fuchila Gran hijueputas #Uribestias,Violencia,E
#Uribestias ustedes crearon esta tendencia? Porque solo imbéciles e indecisos tienen que estarse recordando que son heteros no?      Hombre llevándose la palma de la mano a la caraHombre llevándose la palma de la mano a la cara#OrgulloHetero,Violencia,E
"Lluvia de mocos está noche, pues la #RecuaZurda está  en #LloratonMamerta, les tumbaron al Indio sopla coca en #Bolivia
Feliz noche colombianos #UriBestias, si se puede.",Violencia,E
"Pero según los Uribestias porque eso son Bestias y con mierd4 en el cerebro, son muy decentes y personas de bien, vean a esta mujer Cara con máscara médica #Uribestias #LaMingaSeRespeta  
@AlvaroUribeVel
  
@CeDemocratico
 la etiqueto a usted que es una de las que promueve la ignorancia 
@CaliDigna_
  Cara con máscara médica",Violencia,E
"Llorenlo perras!! Jajajaja Grande #Matarife @ElQueLosDELATA
 seguiremos apoyandolo en esta buena obra de q los imbeciles despierten y colombia no sea el payaso del salon!! #UribePerdio #Uribestias llorando jajajaja  #UribeEstaAsustado",Violencia,E
"#Uribestias HPTS Ya quisieran ser el 0.1% de #Bobolivar que ha escrito 11 libros, 22 series y ha ganado 30 premios. Ha construido un capital que pocos consiguen honestamente. Ha triunfado con su talento y declara 1.000M de renta como ciudadano ejemplar.",Violencia,E
Es lo que buscaban y los #Uribestias la Inteligencia nos les alcanza para darse cuenta de esto.. Mas claro no es posible. #EntreRatasSeInvestigan #VergüenzaEs #NosEstanMasacrando,Violencia,E
Malditos policías asquerosos,Violencia,E
Andaban con hambre los asquerosos policías mexicanos. No tuvieron más que hartarse a la pobre mujer.,Violencia,E
"Ni siquiera tratan así a los asquerosos violadores , no es hate ni nada pero creo que estas del lado incorrecto. Empezando con que los policías ni siquiera están capacitados físicamente para algo mucho menos moralmente ni cívicamente.",Violencia,E
"policias asquerosos se metieron con Sam cuando el no estaba haciendo nada, los odio",Violencia,E
"Yo no entiendo por qué si sales a trotar (solo) al aire libre, a los asquerosos policías chabestias les molesta, y te mandan a la casa...

Si así hicieran cumplir siempre las normas en este país, fuéramos Suiza.",Violencia,E
Estoy harta de este país y de su puto gobierno y sus malditos policías asquerosos.,Violencia,E
"La alborotada de los indigentes ayer en el centro de Bogotá, es el reflejo que a los Policías les quitaron muchas facultades con sus putos DDHH, como de darles PATA y GARROTE ventia'o. Es la única forma que se mantienen afinaditos esos asquerosos…",Violencia,E
No difundan fotos de la mujer que fue ASESINADA por POLICIAS MUNICIPALES en Tulum. Mejor difundan fotos de los cerdos asquerosos que la mataron.,Violencia,E
"Fucking policías asquerosos. No me importa su sexo/género/preferencia sexual, me cagan por igual. #lapolicianomecuida #LAPOLICIANONOSCUIDA",Violencia,E
"Tenemos que dejar de decirles cerdos a los policías, no son cerdos, SON POLICÍAS y son asquerosos, son corruptos y ASESINOS.",Violencia,E
"No murió, LA ASESINARON. Una víctima más del abuso de poder de estos cerdos asquerosos llamados policías #JusticiaParaVictoria",Violencia,E
"Los policías son tan asquerosos que usan la fuerza con los más débiles, por favor, no quieras justificarlos. Prefieren someter así a una mujer, que ponerse al tú por tú con un sicario",Violencia,E
"Grítenlo como gritaron por George Floyd. No murió, LA MATARON. Y por estar borracha, NO MAMES ni a los feminicidas. Que asco los cerdos #tulum",Violencia,E
"Ay por cierto... pinches policias asquerosos, espero que los cargue la chingada por matar a esa pobre mujer ",Violencia,E
Jamas entenderan. Que deben perseguir crimanales..no gente inocente... ! Se pudriran en la carcel policias corruptos asquerosos…,Violencia,E
La mayoría de ellos son asquerosos policías de m***** y otros son fachas asquerosos que defienden a la policía siempre,Violencia,E
"No, fue asesinada solo por un policía, que por cierto era una mujer, como les gusta colgarse de todo asquerosas",Violencia,E
"¿Asquerosas?, Asquerosos los policías que la asesinaron, no entiendo cómo puede ser posible que el caso sea de un asesinato, pero en lo que más se fijen sea en eso, haciendo a un lado el hecho DE QUE LA MATARON.",Violencia,E
"El nivel de insultos de los fascistas asquerosos: ""Putas"" ""Guarras"" ""Zorras"". 

Encima se ponen a cantarles el puto cara al sol en la cara y los policías se ponen delante de ELLAS. 

Increíble que se permita a unos desgraciados fascistas poder homenajear a una dictadura asesina.",Violencia,E
La mayoría de los que defienden eso son asquerosos policías matones y defensores de la asquerosa policía,Violencia,E
"La alborotada de los indigentes ayer en el centro de Bogotá, es el reflejo que a los Policías les quitaron muchas facultades con sus putos DDHH, como de darles PATA y GARROTE ventia'o. Es la única forma que se mantienen afinaditos esos asquerosos…",Violencia,E
Malditos hombres asquerosos. Da asco que incluso se llamen ser “policías”,Violencia,E
"#Duquecerdo #Duquetitere no está en este plano. pobre zombie del Culibajito narcoparamilitar 
@AlvaroUribeVel
 y las Élites",Violencia,E
"Y  ese bobaso hpta q dice ser presidente q no sabe donde esta parado... por q no se preocupara por lo q pasa con su narcogobierno en Colombia? 
@IvanDuque
 deje de ser sapo y haga algo por el país  mequetrefe !!!  #duqueinepto
#duquecerdo #uribehpta",Violencia,E
"#duquecerdo le hacen una pregunta y termina respondiendo otra cosa, maldito cerdo estúpido URIBESTIA  #DebateEnCapital #PetroPresidente",Violencia,E
"No se le puede decir Cerdo al Hp, ni tampoco se puede replicar sobre #AndrésFelipeArias...

La 
@FiscaliaCol
 está haciendo seguimiento de eso. Cara con boca abierta y sudor fríoCara con boca abierta y sudor fríoCara con boca abierta y sudor frío

(Ojalá este trino no lo vean esos hijueputas. AUV)",Acoso,E
"#centrodemocratico  = parrandada de ratas hijos de puta !!!
#uribeparaco #UribeGenocida #uribehpta #Matarife #DuqueInepto #DuqueShowsero #duquehomicida #duquecerdo #duquehpta",Acoso,E
"Como todo en este puto país, los pobres más pobres, llevados de la malparidez y que se salve quién pueda. #DuqueCerdo  #duquecolombiatequedogrande #DuqueInservible",Acoso,E
"Que responderá ante esto la bruja de 
@MariaFdaCabal
 uribistas de mierda corruptos hptas! #UribeCadenaTeDelato #uribedebeserjuzgado #UribeCobarde #FueraDuque #DuqueDictador #duquecerdo",Acoso,E
"#duqueinepto #duquehpta #duquecerdo #uribehpta #uribistasratashptas 
@IvanDuque
  presidentucho de mierda !!!",Acoso,E
asi o mas FREAK Y TONTA ODIO CUANDO LAS MUJERES SE COMPORTAN ASI http://www.youtube.com/watch?v=6yMiOTxidFs DENSE SU LUGAR #mujerestontas,Acoso,E
"La principal es que si te comes la de chicharrón no pasa nada, pero si decides comerte a la Cenagorda Citlali corres el riesgo de morir o aplastado o indigestado por comer carne de jabalí salvaje contaminada con el virus de mierda de la 4t",Acoso,E
"Peritos investigan la muerte ? pues que no ven esa gorda asquerosa inmunda vaca del cuerpo de policía cómo es posible que permitan esa clase de cuerpo policiaco a someter a una mujer , que se pudran en la cárcel por pendejos .",Acoso,E
"Y MOLESTAS A MI FETO PODRIDO GORDO CHUPA VACAS, EL TUYO SALIÓ HABLANDO TEHUELCHE Y TODO",Acoso,E
Mira india traga ratas el mío revivió del más allá así que no es lo mismo que tu HASTA BABY SHOWER GORDA TONTA Y NUNCA NACIÓ CERRA EL ORTO Y DALE LA OPORTUNIDAD Y DALE LA OPORTUNIDAD A ESE INGENIERO CON MAESTRÍA DE SALIR DE TU ASQUEROSA PANOCHA GORDITA DALE QUIERO VERTE,Acoso,E
"PUES EL MÍO VA A SALIR GRITANDO QUE ERES UN GORDO GAMER QUE SE REVUELCA EN PUTAS CON SIDA, COMO LA VES FOCA EPILÉPTICA RAQUÍTICA ESTÉRIL, DE SEGURO TU HIJO FUE FUSIÓN DE MONO CON LOBO MARINO, CERDO CHUPA VERGA DE BURRO MUTANTE",Acoso,E
"que les hizo.. el personaje de caricatura, para compararla con semejante personaje nefasto de 4ta.
los cosas como son y por su nombre: gorda asquerosa obesa, traga mierda.",Acoso,E
"Puta policía gorda asquerosa, como no iba a matar la mujer con semejante peso, perra gente, se los va a cargar su madre, ojalá que si Face with cold sweat",Acoso,E
orfidal y a dormir vete a tomar por el saco hija de puta gorda de mierda fea asquerosa déjame en paz no te pido perdón tomo los orfidales que me dé la gana duermo cuando quiero déjame en paz lávate el culo puta vete a lavar la parrocha y el culo puta y las mamas,Acoso,E
kys gorda de mierda asquerosa  si llegas a leer esto puta acne de mierda hasta las piernas dios cortate la garganta a por favor sal de mi cabeza no puedo mas sald e mi cabeza muerete de una vez lol XDDDDD,Acoso,E
"Todavía la maldita dice, si esta respirando, cuando ya había falleció por ahogarla con su pierna de GORDA Asquerosa. ASESINA",Acoso,E
"No existe el término ""poca mujer"" por lo que sería ""maldita vieja"" cobarde....y cobardes quienes no lo ayudaron! Por lo menos en tratar de dialogar con la gorda asquerosa drogadicta",Acoso,E
gorda tracionra jueza  das mucho asco podeis sacar a la tracionera machorra feminista de mierda asquerosa,Acoso,E
Ya renuncie es una mierda de gobernadora quitaste muchas árboles con historias todo por  tus puentes de mierda que asco das ya deja de envíar ha tus gatos/as asiendo el ridículo caravada gorda asquerosa,Acoso,E
Que gorda asquerosa hija de puta ojalá pague caro por esta mierda. Ojalá viva una vida miserable lo que le queda. Son un asco estos mexicanos. Lo peor,Acoso,E
"Oye Clara, esa gorda asquerosa te esta coqueteando, es del grupo de atontolini, de la Gibran y de todos esos desviados.
Ya entraste a ese grupo de los desviados de la 4 t.
Que vergüenza, NACOS y CORRIENTES.",Acoso,E
"Toño hay que cargarse a la gorda de 
@CarlotaLlauger
 puta asquerosa da mucho asco Pile of poo hay se muera de hambre la comepollas",Acoso,E
"Es ahí el por qué moralmente es imperdonable hacerse la vista gorda y dejar que dictadores y partidos de izquierda sigan gobernando... Son incapaces y solo gobiernan en la miseria.  Venezuela, Argentina, Bolivia, México entre otros. Gobernados por la izquierda más asquerosa.",Acoso,E
" A Petro ni la mujer lo quiere por ""guache"" y violador de la ley anti ""femifobia""",Acoso,I
"Existe la femifobia?
o algo asi? les juro que que les tengo fobia ((menos miedo)) ABORTERAS DE MIERDA.
el aborto es una moda, ustedes son una moda, no saben nada.
les duele la biologia",Acoso,E
me tienen podrida los hombres traumados de mierda matense,Acoso,E
"todos los hombres sois una mierda

lo dije xq se tenia que decir aunq es sabido ya.

el que tenga alguna objeción que me responda que estoy pa problemas con uds ratas inmundas de doa patas. 

hay excepciones.",Acoso,E
"No les pasa que están cansadas de que casi todos los hombres sean una reverenda mierda? Porque yo si, siento q cualquiera q me dice hola quiero escupirlo",Acoso,E
"Todos los hombres son asquerosos en su medida.
Pueden ser pervertidos, pueden juntarse con violentos/violadores, pueden ser amigos de violadores y saberlo, simplemente ignorarlo... 
TODOS son la misma mierda.",Acoso,E
"El doctor Vic tenía mis respetos, pero es otro machito abusador misógino que se aprovecha de su posición.",Violencia,E
maten a la puta perra asquerosa policía de mierda maten a esos hombres hijos de la verga,Violencia,E
hoy elegí la violencia y me vale verga ACAB ACAB ACAB ACAB,Violencia,E
"Parce... 
Mucho hijueputa ese Man, que asco los hombres así bueno si es que a ese pedazo de mierda se le puede llamar ""hombre"".",Violencia,E
"Chingos de hombres borrachos todos los días a todas horas haciendo desfiguros, gritando obscenidades, con el pene de fuera, acosando gente y obvio, sin ni una sola perra consecuencia. UNA mujer ebria y LA MATAN, estoy harta de este país de MIERDA.",Violencia,E
Que irrespetuosos de mierda que son los hombres los quiero fuera de nuestros espacios YA,Violencia,E
Si pudiese meterle un batazo en la cabeza a todos los hombres cochinos y acosadores de mierda lo haría. Ojalá se mueran. Harta ya de esta pinga.,Violencia,E
"Se han puesto a pensar que el punto de placer de los hombres es por donde sale la mierda, seguramente es porque ellos son mierda",Violencia,E
"Mae, acabo de ver una noticia, espero y no sea real...
26 años de cárcel a una mujer que aborte?????? Malditos hombres blancos religiosos de mierda!!!",Violencia,E
Como vas a cagar a oriana sabatini??? Literal los hombres son unos pajeros de mierda,Violencia,I
"Qué pateticas se ven quejándose de lo mierda que son los hombres pero no pierden oportunidad para andar de putas en twitter. Tengan 2 gramos de madre, perras.",Violencia,E
"Algunos hombres parece q leyeron el mismo libro de cómo ser un reverendo pedazo de mierda, que asco que me dan son unos básicos del orto",Violencia,E
"cuándo van a dejar de decir que las feministas odian a los hombres, nuestra lucha no gira en torno a unas pijas, si una mujer odia a los hombres es pq sabe que son una mierda, y no tiene nada que ver con que sea feminista. me tienen hartaa",Violencia,E
"Tengo un asco, odio a los hombres, odio a los padres irresponsables, odio a este pendejo pajero de mierda. Espero que haya sido la primera y la última, que no se convierta en algo normal para él. Aunque viendo como se fue riéndose de mí, debe ser normal y disfruta",Violencia,E
xq los hombres juegan dominó lanzando la mierda esa? Toy q les meto par de puñaladas,Violencia,E
Claaaro pero si uno expone la intimidad de la mujer es el malo porque los hombres dan asco y blablabla no se trata de géneros retrasada de mierda sino que uses un poco la cabeza…,Violencia,E
odio a las hombres no quiero verles el pito puerca,Violencia,E
"QUÉ ASCO LA GORDA Y LA  COLECCIÓN DE FETOS FEMINAZIS QUE ODIAN A LOS HOMBRES PORQUE NO LAS TOCAN NI CON UN PALO!ESTÁIS PERJUDICANDO A ROCÍO CON VUESTRO POLITIQUEO PARA SACAR DINERO,COMO SI OS IMPORTARAN  UNA MIERDA LAS MALTRATADAS!",Violencia,I
#NOMBRE?,Violencia,E
"Boludo que hijos de remil puta los hombres, todos terminan siendo la misma mierda TODOSCara somnolienta me esta decepcionando alguien a la cual amo mucho y cuide toda mi vidaCara cansada",Violencia,E
"A las q dicen q ""todos los hombres somos una mierda"" y ""son todos  iguales"", les recomiendo q asuman feliz su lesbianismo, y les recuerdo q fueron procreadas por un hombre, y su papa y sus hermanos tambien lo son! Tampoco tenemos la culpa de tus malas elecciones. Asi o mas claro?",Violencia,E
"Si no tenes para coimear, ellos cumplen su trabajo, si tenes para coimear, vista gorda. Los policías son la cagada mas asquerosa del Paraguay!!!",Violencia,I
"Qué recontra pelotudas. Soy mujer y madre de varones. Y a mí éstas huecas no me representan Yo eduqué bien a mis hijos para que respeten 1- a todas las personas.Y demás está decir a las mujeresTontas y retontas ,hombres y mujeres nos complementamos. Eso sí quién delinque Preso",Violencia,E
"Todos esos hijos de puta de los mexichangos son bien altivos no conocen la humildad y se creen los mejores del mundo, y le tiran mierda a los demás, pero sus mujeres están bien ricas bien culonas y son bien fáciles y calientes lo digo por experiencia Smirking face",Violencia,I
"Sinceramente me da mucho asco esos hombres extranjeros que piensan que las latinas son ""calientes, cariñosas y tetonas y culonas"" Face vomitingFace vomitingNauseated faceNauseated faceNauseated faceNauseated faceFace vomitingNauseated faceNauseated faceNauseated faceNauseated faceNauseated faceFace vomitingFace vomitingFace vomitingFace vomitingFace vomitingFace vomitingFace vomitingFace vomiting y lo horrible es que hay mujeres aceptando eso solo xq son extranjeros Face vomitingFace vomitingFace vomitingFace vomitingNauseated faceNauseated faceNauseated faceNauseated face",Violencia,E
"No se conforman con ser chilangas, aparte son mamás luchonas... ",Violencia,I
Guadalajara es cagada Pila de caca y cuna de homosexuales,Violencia,E
"Si agüevo que si, nadie quiere a los jotos ni Jesús",Violencia,I
En qué momento llegaron tantos malditos homosexuales a tuiter.,Violencia,E
"o si lo penetras ""en nombre de dios"" es totalmente una experiencia religiosa!! #padrespederastas",Violencia,I
"¿Cómo te atreves a llamar ""feminicida en potencia"" a nadie? Eres peor que un cáncer de páncreas, reaccionaria de mierda.",Violencia,E
"Vaya sistema patriarcal de mierda, habrá que arreglarlo, para que tengan una base real para quejarse las feministas, un patriarcado donde mueran mas mujeres siempre que los hombres, no?.",Violencia,E
"Donde estaba su chingado puto inútil dios de mierda para evitar que a este niño le pasara ésto?

Dios: chinga a tu madre por el sufrimiento que tuvo este niño en #Xcaret #justiciaparaleonardo",Violencia,E
"¿Que mierda pasa con la justicia en Quintana Roo que todos los días sale mierda de su sistema judicial? Ayer, los policletos de Tulum, hoy Xcaret.  Cerdos. Cara enfadadaCara con expresión triunfal
",Violencia,E
"jala los cargue la chingada por tantas muertes a turistas y empleados que han ocasionado a lo largo de los años, putos negreros mayas de mierda",Acoso,E
